video ID,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29
Sb_Gg0eNux8,AUfC5oDKQ6Q,qW5DhZOQuFg,-SziMFFqaQ0,pXcyGzc75S4,NGIYTBYyFuA,_EaG6wcQoZ8,EZoHMtcrmB4,WZoU0BALQ3g,EYNVN5kMfCw,xpcUxwpOQ_A,MKuvlPjGTFs,7ZD8We9gUyM,XYv1l5jrHQ0,w8x9N0UwYtY,tC5HIpoZ8DY,4W1YaABDwto,nsadC7k-uvo,qOPuOlWCuXk,rUu4So1YRM4,tPcPKXJq1XI
9CyYL73W3UE,CaUHrP59zVE,ncWyO0-mQmo,vOb80tY57EY,Bd6QKWp5B90,-59kvQ6LHPM,V-67ASp7fT4,yFncMs01D0w,EvpygYcuyFg,onIec1Z5yYA,c8EzKoVAzaM,6Nvcn1RmW8Q,4vweKY4yk3U,R5f8X2zjgxk,kz3TgCNq4Jw,fm1C2GXL_iQ,GtlpkjGXQeQ,P0bK91Icf9s,O3BRjh2zg9I,4IwcBADkz3w,MaNEL3Oi6E8
ot5aghT66EE,_woGjV_q8fM,fsAI_Lj14pw,GcvJMq558HQ,xnevQW3vwP0,qPSc8jejKcA,kNQgWf5dpmY,b2TMOWx84eU,tGEz31RA4es,BeOoEcNtdQ0,BUbJzK20t94,POSnqstkX78,O98t-7OMe5Q,b6DWOkld03Q,7rXQ67mZO3k,LIANjJwsDuo,2k2RUV9Fb7o,xfgEWoeJPzA,dOFRRUgt2bo,Co4FTcQHr5g,rs_t_ZYRyT8
gLTBNfLhzIE,9d0w0lrNlpU,uIXPb-GWQJQ,7j4ErvQn8t0,8vT5cad12Jk,sTq992Nv9cA,h0n8_L2oP-I,dHZ5Dt6sXrk,MWhrGGrs3Ow,urViS-l9Uts,9HmjIF-N3jc,0XBBd6jsl0E,HB0xH7GhwSY,-rAQDcAX9qs,ClSP7iDSoBs,dOFRRUgt2bo,qH80RoDiDIs,ba4cHB4uEQ0,KzkANMsWZ5k,nUjNtZj02p8,C6tbWcAKNRk
uGxl2erG9_0,dvXme7EyLf8,PtDU43moea8,9V4bREFuhzU,7Msb00LllDY,-L-C-blQWAY,QccWhkeLW8U,Pnq6urClDGg,y38BQ660rUI,Q-BrZtT7sBc,WVgYpYzogk8,jK9ouY1-zLo,9k1-xdyHkLs,hYOqk54x0tA,Ww69uCsyFxE,tBeqAs-MdsE,UvpEIDTzDVk,kbMXpGUbLo0,HSlS6lTCOxo,x1lAoFaLgt8,QQ0WxM1MlPQ
lYZY0_TtdIg,Q6wwYESbXGE,TyOw0nTvY9k,GG2PXgMrP0Q,PaO9DU4LCLs,e7liFU4J4Cc,ouDVhPzIQzU,7wNiznA9zb8,BIIS6JiRKDE,IvWxwGtoxK8,QuSQTdFyCFw,y0LQ3ZmtKQM,mF-_afJykY8,hQ0Xjn8TQwA,OrXyvGvfVkc,QOSsfH_mqjY,U5nYstoyfOM,Q3J_57iPXiU,xKoUjvjzEYk,RMw5cZmbyus,rWR-jJ3v1pk
MV1GZ5tvrPo,nivR8LkSn1Q,OszAUfkgZC0,tXL-mp-Tbk4,MRngkQk3BbA,t-3qncy5Qfk,k5Ax2mdiUOQ,qRuNxHqwazs,JpPSi_v-9qg,4eXivZ7hDkE,JzL8CTBN0yI,4bBT14dxAOo,BP-l3WVFEGo,-tOSxdEzoHM,_7zfO6fxsIY,7FWVO3AKJew,tjQJZYjm7Us,OtKO13AVWbc,iuW-_LOHv2Y,Nsr5FqAFrWY,wJi-mlKuFrg
U5Ye8M-vNDg,,,,,,,,,,,,,,,,,,,,
TRdBSJScKT4,,,,,,,,,,,,,,,,,,,,
CPbwriZTarg,fvejj2L6Gog,wiVUVZ2qyY8,XsA5HOm51BE,nmWa-V4dhJA,Fyda890du1Y,y-5Gte_8DYw,Q2ShFd2AfuE,3QF49cz2pt8,-PfavjUxU9o,n0vH53iPGVY,bonFRrtJhBs,HLX_JDImV80,_Hgouf5Ic_4,o1GU-rNFYUU,pXqhM4koBds,iWjegPxfuK4,NjYWljp71SY,O3maeCJUXug,TxRWfLqqtcY,1RRTA86F2f4
CYWXjQ-JFV4,xrmvr1NkAxc,_5r3i7J-JJE,pb2wBTtEoIE,PvRYrFwNIUE,pDiy9Tyo_RQ,JUfPdc59W6o,JNrqWneeYyU,bVfAIkWyL_E,8dUry8kP7pI,Um4T0yiPYAU,8gGAVGHjWl0,M_tOGG5CZfA,OUudoFaT82o,yus8B9E382M,QwWjWVz_McU,lnFQNxECnu8,HyffZ5B0Trg,SDyCabRRiYQ,kCUJQJ8fLeo,Wt4A3HUYYWw
PvRYrFwNIUE,,,,,,,,,,,,,,,,,,,,
HyffZ5B0Trg,,,,,,,,,,,,,,,,,,,,
Qyn1LIWZ0lY,rFjBf6viIMI,thd-LX1Phm8,QZgD-9CIuBA,sifV4lGplJA,NaOMMwk_KzQ,oR3m_afvbuA,_5r3i7J-JJE,8ZjD0_skID4,CdhkPKJP7Zg,-kYQU1TK32w,eqjcTlXxPeM,tQbg3LM5rqQ,2uIvcsT4T9g,x0OZn5ZHZjg,a8auSQ1igYc,jlhm0J0_Ui0,Gg3oI6rvlU8,1RFzQsdDd3I,gzAtuprN3tg,fEqMRR2E1UA
xrmvr1NkAxc,,,,,,,,,,,,,,,,,,,,
M-twWdBAA2A,,,,,,,,,,,,,,,,,,,,
gW330Hk6SH0,,,,,,,,,,,,,,,,,,,,
QwWjWVz_McU,,,,,,,,,,,,,,,,,,,,
uCfbyAEnDt4,x2AaEBvy5eQ,jfbbvQdQXSs,5DcFs4NSDT0,agfSKJe6LJA,dfabK_rOtek,1nzd0R_OeOc,8tN2DchWj_Y,C6Is231TuNI,DHiqVygN-w0,3i_Uzi1S5T8,6qHaIO0LU38,GZbSto-vttA,_LPB6OmZeHA,B0LHRoQJbow,BUBmzeF6-W0,bi57YE9jon4,b6MXU-lCktU,QjxNREUes5M,NBmY6fS8q2g,6LnX-SW7RJM
pDiy9Tyo_RQ,A5M_zXTLtg8,8dUry8kP7pI,gjrUWIPG0kQ,BWiCtHmrqBY,9iYrwSkthq0,_5r3i7J-JJE,rb554NU9G78,PvRYrFwNIUE,rjT1GygrUII,GJkDJJlEgtA,EblcDnMx01M,obSyHeWBNTM,jM3j7ORz0_0,HdxasxlanfQ,1GErTJzWylM,PnUPh3YZk20,aqUvYR-XK4w,kTsZdLRso64,K02fGfoNliY,mZzXcYcwSdU
_5r3i7J-JJE,,,,,,,,,,,,,,,,,,,,
3AViw0wBNNU,,,,,,,,,,,,,,,,,,,,
C6Is231TuNI,,,,,,,,,,,,,,,,,,,,
3i_Uzi1S5T8,,,,,,,,,,,,,,,,,,,,
8LnbcjY8DIE,7Hv7xcbmOMs,28hBY83WQhE,5WV19eK8zqQ,n4JPu2PGwSQ,xQ5vlRaZj4Q,6WNyhMqvLbU,2FYykHe8m0k,Dee_m9Yfe2A,ss5GvCDsJvg,7_VbwO5w9Uc,TQT1saCoafU,Jjg4MQpGDjU,D8b4_7FZMlw,pjiAp0pC1I8,h4VKy5j84lA,MWUPtrfBFlA,RqPv-2J8BBg,aqCHhmdw4gA,UVDLuH9YtTc,QiyF0brsU0I
WhynT1N862Y,KktfFkcIjmw,reWoF6TSTxg,eKFaLwhiLc0,X1aC3mQiuzE,lpQSQS0tqoI,Cdh5pl6q19c,w6bzq-fJiJk,uCSrEg5-DHg,NfC62hwT1Pc,S_e7_A1oYKM,otZdiO0q6pU,nC_Z-EPSVaI,bFQps5c0xpI,6qgzRd476qU,liY4_zBi7gU,l5b9gW4fRJI,E0jHyNovcFg,B_om0xYuAI0,Q-MCi6Q4jq0,85mHqNDlPgw
