node,betweenness,ap
JRkpel_cJ2s,7.5,0.4
yyU-JRqSS4k,15,8.8
3ZV1etMDEkw,7.5,6.8
2TfX86wX070,7.5,0.4
YYnEf8-DJtI,15,6.8
V8LeYPX_Drs,14,4.8
WJ960UbjgEg,14,7.2
dINKnZHh1F0,14,0
KDdsEHLh90s,14,16.2
YCW9iwGP6ZE,14,37.4
z8c2SkN3wt4,7,8.2
VesS9ZIDnCo,7,4.6
UZuU0qajnaM,14,0.8
y6Art6P2Srw,15,10.2
J37OZOSFCjk,15,1.8
uERUF6vpnko,15,22.2
46d7z75wMtY,15,11.4
z7ktEyfeZsQ,15,13.6
TSmtwqch4Tc,30,1.4
9BhTedRNsBs,15,7.2
WNNm93fDKcY,15,0.4
wqzihNoh3rA,14,27.2
CM8DtViG3_w,14,32.8
Yt7vauiBQHg,14,12.8
u4unsftNTEY,15,21
5TTGeQxZ4zs,14,1
sLo-CkONb94,14,7.4
JJR9zAyju14,2.916666667,4.6
qED9OO9Z6Yk,3.5,1.2
YtdLrIoWoz0,2.916666667,2.4
KcyxZkVSUtY,3.5,0
xdd6NdWKIks,2.916666667,1.2
Ph4W7r6iPyc,14,2.2
wQthcAK9kAg,15,75.6
rdP97lNHoCY,15,21.6
R8vNfpkW0iU,7.25,12.4
lFQvz009sWs,15,46.6
T8c0kGi9HOg,4.833333333,2
rOq-g2MIIdo,14,1.6
7vghb769tg4,15,1.4
qjCASu7qcG8,15,3.2
z1LcLdwVAJY,15,0.6
KBNIQvdBt7o,0.5,1.6
JY5idX4k-1Q,14,3
ck-v3UFBK2E,3,17.8
Jxc3uvWqC_0,0.75,2.4
nXeEG-fP7Zs,2.25,2.8
