video ID,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29
gMK2x03-tWg,8uvvBxpCQTc,eFl5uC-hqaE,vgdklT9GHy4,L60hs-Gdo9Q,UGZDy6F1CX4,yGTc-hZ_DlM,kWYGjxQWi3U,4xpbbRNNN5w,Rittk4_dNt0,2JNKCv4PwW0,Bj2x5ryV8Fw,Drz5ovQ26iI,mYcpx_bUBHk,S1G5QxyJ748,_N97nz-6HSc,FP6oSn2WdrU,4IlsEFQvSU8,HjtIAU-2iic,3geE9ztRJkw,v_xvvK3-I8A
Hah0XQ1pAO4,-QkM9TzHpls,KOyJ9oi9yLQ,zPvhUw56o4A,Yb4QPYleJ4g,3rF6XsPcuU4,zI--DUoPg6o,8IRDlht-7Fs,Ei7aTOo4r8Q,mD2ZiXPBEU4,OV-oaZcBe4A,dMlQivH2ZkA,ggT813s_fFw,WpBelXyWXS0,-Xa6EjdYn8A,Uyl4WQzuxjw,XxkjHYdSAH4,XNuclYD3G_M,YTKn_2nqhxU,jQBhL5BiJ9c,7Se9K-iaMY0
Ph9MMzecrSo,,,,,,,,,,,,,,,,,,,,
WTEK9yr8zR4,,,,,,,,,,,,,,,,,,,,
ykb2PPrCkJc,BJ8LxIF9dIc,6ElO7MMWTyw,MOfaqTpTvsY,v5_7oxH4iTw,HJHr7hbgzuM,VJPTbxX5Wkw,a-A5MBKWDB4,bYsG7xmcxmc,27yr8XYrgKQ,Peqm02YjmiM,Tk5A21oGcD4,7KpjkTrYlxQ,Qtk3xfIyIhw,UrUqmaifnFM,Pj9Ca9Yoa_I,cAKQOrfmH0M,xzFgttR1Af4,pgBnZQK5maE,zowtGF_DdWI,cH6BPyFu4k0
P20vEyUx1zs,538tufL8-UE,V5-YXO3uedk,khFhF64P3VQ,cCqtr-tWzAs,Phbe8mEDMe4,KHPcWpNencs,trA0J9MzvqI,wCtq3OHlL_c,VuEUjZJGXr8,4H2axyoBtW4,HCthGZfFJ80,qpCNHvRfaes,cZZRdwzDDn4,USNwmAex_p8,pquU2RFIvy4,guGXkBsMxQY,h863nXDqCM0,dQDJcNAx8CI,whRWFscV6qg,8DYfkQ9Pbmk
V5-YXO3uedk,pK4bLMd0avU,35w9nIl2adE,iM7SYE4XHXk,qGX7HVOhEMg,0LUZDN9E7-A,8xA2zSLib2E,WpBkc4UqpVk,QP86EpKVmck,zhCFhsiwDEk,JGLv3IEL0VI,eZad5JhCFH8,P20vEyUx1zs,-ye1_tLCou0,cumIx7aYsfk,HhZ5-L9znt8,MOLtdDZJzQY,3fIR-dp-07U,tgkBW-fDRM8,uSvsON7Dlmo,lCi7Kqpmn9M
KO-ztbCa-e8,A6Ge3wGc2G4,v5SQBHPHh4s,YbCltNe__8w,ILGI5CILN3M,ODP-mBY6-G4,JoD9JSqzWJY,yBBMzNfrzB8,wWwiNu-Z3zc,QgKOHNEe8T0,XGcSHcUxB24,OYhPivZ9OQQ,cWFkRQr5gcQ,MsfIv7ZH9VY,p-G7PO5_5Vw,v4bx44Bl8WU,IixBz45FkxM,7DxV1rRAxd8,oJvP3TMIxm8,Pyn480zXHRQ,cxN6A1NpGXg
88nFDNcDNII,_l-XJY30RIc,roI_3gc9UAw,V1Oi8-Du6eM,-P3rrPAJ1-Q,Wy7VavMMUKw,FBcen4AlXvY,9nzpi5QfzY0,iKogXkMJX3o,AZUcdgJZ9mo,Ap5Gms7aUo0,YDRwSlIw-N0,37hmvJfGpR4,ZS5_JQDa1-A,Dcow5a19aXc,_st52WBndOM,gb4NwOEVi1g,8lvMjqcDnjI,z_BoyXy33jU,-qnW3TB5Qt8,tPBzEk3TaQM
bEeZ48TveZo,IlgoVwD5MxI,fD2XMjSRJfI,MT-4Cfxop2U,Z-LigSrrpts,7vRTb1cAYl4,ay_2iJZGlH8,CKeKHIMLpBY,0tW_-eriat0,YGkiS9Pe0U4,Zly0k0FDwUc,BphGI4jCxuQ,IbzWtWXqn4s,Ldtc_-ZGcac,7DJM45rK6xA,NBfmmvqbyew,9Den8NsIa9s,otHjA4Wcad0,i1iJASabAxw,FSbVZKs8B_8,TRdBSJScKT4
JkpXzBAgnMI,,,,,,,,,,,,,,,,,,,,
TXKGTPgrpxI,,,,,,,,,,,,,,,,,,,,
FM0jPIbc24s,MhwFCCBPeAw,e6NygqMACFw,KiYbIEiq0Es,RY_pwphbbYc,RL3HaEyQNVE,WUewjOoK-kM,9vyUsnI79aI,-cu2wqTi_Ow,incqSjE1_24,HQ07XtAot4g,D0HlyBjVLy8,65QG0sis4E0,cFtSySwWKfI,RaMWS1WnHGM,QDvbv2OFvTo,Jb2HRiKU5eo,vBOE_MMh_OY,H1iZbhviKj4,XCb0qfJUZ2w,2v_e7mCXu9c
iKoAoczs_WY,,,,,,,,,,,,,,,,,,,,
iqONTdpOdzc,,,,,,,,,,,,,,,,,,,,
4RwMtxREKUA,mBwsparIPI0,TL4__gDaTz0,RkpsNw3oM0Q,RNhC2xqccws,jTNlpHF81Ms,vvFY3CjCRIk,8xBqWBldI0U,drynYQBI1UE,iKoAoczs_WY,xqsqiCdFqjs,99bObMkr8P4,ejfry4qttZ8,QAiBaTMeypk,FQw7rXDWe68,62CJhC7NwNM,gdFDNlzsruU,0oQHDbML7Hk,YLssVm3ZmP0,a8c6b4qfHOk,-M8SFPEEG-Q
WFHIJey_6cU,NXAlh4LyWyM,TuC2Ya-27kI,K9poGqR1zGY,mip6HEbmVn0,AxuO1Iu9k14,JDULqdFxC5U,kNw4XC3SFDk,E2UymXPNgIk,RjRxLDN40h0,z_B8u8qAHD0,EYtXA_Ip7Qw,EccILlE7z8M,BSUreW0xMek,GsmV5JwJE4I,65F9L7wE_Eg,LBWvuhKUKMs,ZknUuoDsX0A,Q0CVHubquwg,gvfhjhA1vOg,803fVf79-n0
8XXZokqRmss,,,,,,,,,,,,,,,,,,,,
0lNRIhhg7gk,GHk0VJ3OUog,Z8jxQgBPoG8,bFA7vnrOxvI,jRE9YFW1SpQ,6LA27UeocIw,vHEWnFA_bLE,UOWjjMm4F3k,FQgAw9fh1jw,5OdUeT6hylY,fnOrQAVYhkg,uPsUba6e_Ys,iGWqXBDmPJE,qiCJ5I0AYEU,CwLLprAwzhk,DXUMjB1nsyU,-DSlatrwcA0,2sp6EKdfXBM,on00R0C0C3I,eNhyzUMU9aY,4brlr8qnJPw
bjlw43R0k34,fvejj2L6Gog,H62tJWQLqO4,FJZyoHFJFSU,gp2gKWBLR5s,HP0yVudjSaY,dZ5yCEijgvk,XsA5HOm51BE,wpmkacHTn14,iwSan4M7h0M,90ASY4M522Q,gRe_mhtcR0k,ItvVgUiQzbs,gl-q2fcIp0Q,8pYwEKu9XNw,ERQy9HaSrLw,1_OFrOCz5y4,qWe0yD_u8S0,iowWTGvW-ZY,fDurhfQ2epE,K6KnBZV-6-o
-PfavjUxU9o,bqqxhELUSTk,M1R2UFBh078,6s6CWBZe-cw,nGnbAHYBmCw,DBpqg_k2Sys,_Hgouf5Ic_4,dZ5yCEijgvk,IjiWnOmPHKc,WEyXwyJHpTg,NSVMcrwGpi4,U6i3DOL_qxg,REyex2H7uMg,JiPzrOV75tc,ASSOPyrYCGA,cNOg6_X_gW8,VZjRtkvBXW0,n6OrrdDCsmQ,nIXjtRBHlzQ,yjCg6vKCaQ0,gl-q2fcIp0Q
lyqaOoSNsuk,,,,,,,,,,,,,,,,,,,,
_Hgouf5Ic_4,,,,,,,,,,,,,,,,,,,,
fB_kQiaxWCM,,,,,,,,,,,,,,,,,,,,
hxDsn5YU4hg,,,,,,,,,,,,,,,,,,,,
KDhjCSQKf1w,,,,,,,,,,,,,,,,,,,,
GiqmY4tRgLI,,,,,,,,,,,,,,,,,,,,
3DBzz9XK_dE,,,,,,,,,,,,,,,,,,,,
